
"1.En caso de recibir un correo electrónico sospechoso, ¿que debes hacer?"

"·         Abrir el correo, dar clic si contiene alguna liga y reenviarlo a todos tus contactos personales y de la oficina."
·         Guardar los archivos adjuntos que contenga y eliminar el correo.
·         Nunca abrir un archivo adjunto ni dar clic a ninguna la liga y reportarlo en el botón de phishing en Outlook (pescado).

"2.De acuerdo con la clasificación de la información, ¿cuál de los siguientes conceptos corresponde a información confidencial?:"

"·         Información que si se ve comprometida podría ser perjudicial para los intereses del Grupo o causar dificultades significativas para el Grupo Santander, sus clientes o sus empleados."
·         Información que no concierne específicamente al Grupo Santander o que se ha hecho pública a través de los canales oficiales.
"·         Información de alto valor o sensibilidad que, en caso de verse comprometida, podría ocasionar daños graves al Grupo. Los datos clasificados como secretos están dirigidos únicamente a un grupo limitado de destinatarios."

3.Clasificar la información por encima del nivel que corresponde puede:

·         Proteger la información y prevenir que caiga en manos incorrectas.
"·         Limitar el uso de la información, ralentizando así las actividades del negocio y aumentando los costos innecesariamente."
·         Fomentar una cultura sobre la protección de información con altos estándares.

4. ¿Qué debemos tomar como base para clasificar la información?

·         El tamaño de los archivos
·         El impacto potencial que una pérdida o divulgación de datos puede causar
·         La fecha en que se generó la información

"5.Hablando de ciberseguridad, ¿Cuál es nuestra regla #1?"
"·         La ciberseguridad es una tarea de todos, por lo que debemos monitorear las actividades de nuestros compañeros."
"·         Protege tu equipo y la información, significa tomar las medidas correctas para protegernos y proteger a Santander contra las amenazas, tanto online como físicas."
"·         Lo más importante es terminar rápido nuestras tareas, aunque se corran algunos riesgos."

6.Selecciona la línea que corresponde a una causa de bloqueo de envíos a cuentas de correo externas:

·         Correos que vayan copiados a más de 5 contactos de Santander.
·         Mensajes de correo que incluyan contraseñas en claro.
·         Mensajes de correo dirigidos a cuentas internas.

7.En SAM se tiene permitido el uso de unidades externas de disco duro o cualquier medio extraíble como USB o memoria flash

·         Verdadero
·         Falso
·         Solo si es personal

8.Es un ejemplo de una contraseña segura
·         S1Santan
·         Contraseña123
·         S@4t@493r*8aNk0

9. ¿Qué es el phishing?

"·         Es la táctica más utilizada por los cibercriminales para suplantar la identidad y obtener tu información confidencial Comúnmente lo hacen a través de un correo electrónico que contiene emblemas institucionales, logos oficiales, mensajes u ofertas."
·         Un tipo de comercio que usa como medio principal para realizar sus transacciones un sitio web o una aplicación conectada a Internet. Constituye la herramienta principal del comercio electrónico.
"·         Es un software que tiene por objetivo alterar el funcionamiento normal de cualquier tipo de dispositivo informático, sin el permiso o el conocimiento del usuario principalmente para lograr fines maliciosos sobre el dispositivo."

10.Son las tres etapas de filtración de datos:

"·         Introducción, conversión e Inversión."
"·         Prefase, telofase y metafase."
"·         Investigación, ataque y exfiltración."
